sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
1.000000e+00,4.211000e-07,7.824000e-08,7.869000e+17,5.759000e-07,1.360000e-06,9.980000e-04,2.154919e+00,2.150610e+00,6.682091e+04,6.598420e+03,4.610301e+00,True,1.116259e+09,4.625122e+00,3.348776e+08,1.874162e+02,9.196652e+01,3.076637e+02,1.572900e-06,6.680621e+04,6.682730e+04,5.928731e-01,6.733635e+03
2.000000e+00,3.971000e-07,1.170000e-07,3.259000e+17,1.922000e-07,1.306000e-06,4.476000e-04,,,,,7.073792e-01,False,,,1.000000e+09,2.709134e+02,9.128206e+01,3.924160e+02,7.815000e-07,8.716885e+04,8.717583e+04,9.243063e-01,1.050300e+04
3.000000e+00,4.609000e-07,8.466000e-08,5.574000e+17,7.400000e-07,1.332000e-06,4.620000e-04,,,,,2.629559e+00,False,,,1.000000e+09,2.120091e+02,9.364638e+01,3.396613e+02,1.940900e-06,7.903768e+04,7.903837e+04,5.241989e-01,6.579010e+03
4.000000e+00,4.930000e-07,1.028000e-07,9.224000e+17,2.666000e-08,1.288000e-06,7.049000e-04,9.225835e-01,6.503291e-01,1.547076e+01,3.904927e+03,6.037603e+01,True,5.983611e+01,4.229280e-01,1.824688e+01,2.948209e+02,9.499911e+01,4.199285e+02,5.463200e-07,1.644437e-02,4.757706e+02,1.090758e+00,1.189404e+04
5.000000e+00,3.666000e-07,1.287000e-07,2.220000e+17,4.231000e-07,1.261000e-06,1.710000e-04,2.069802e+00,3.539361e-01,1.055287e+04,9.551172e+03,5.074516e+00,True,2.784079e+07,1.252707e-01,8.352236e+06,2.445105e+02,9.389107e+01,3.648915e+02,1.212800e-06,1.032362e+04,1.069255e+04,7.443938e-01,9.850048e+03
6,3.733992e-07,1.219421e-07,7.647139e+17,5.601680e-07,1.284226e-06,6.351647e-04,9.404557e-01,5.973443e-01,1.735968e+01,5.173650e+03,4.856951e+01,True,7.533960e+01,3.568202e-01,2.285165e+01,2.611325e+02,9.162930e+01,3.756344e+02,1.493735e-06,6.898620e-04,4.173233e+02,6.626165e-01,1.235366e+04
7,4.671531e-07,1.017265e-07,1.082815e+17,2.766136e-07,1.261066e-06,7.303725e-04,9.870924e-01,7.209451e-01,1.444465e+01,2.477166e+03,3.642313e+01,True,5.216194e+01,5.197618e-01,1.601242e+01,2.350897e+02,9.404697e+01,3.609406e+02,1.020380e-06,5.294834e-05,2.498736e+02,7.605048e-01,6.317664e+03
8,4.641393e-07,1.005964e-07,3.375267e+17,9.979181e-08,1.317804e-06,9.020197e-04,9.232930e-01,8.328285e-01,1.184709e+01,2.618301e+03,5.963668e+01,True,3.508840e+01,6.936033e-01,1.101204e+01,2.650353e+02,9.150579e+01,3.866088e+02,6.637229e-07,2.157463e-03,3.632022e+02,9.656884e-01,9.269864e+03
9.000000e+00,4.242000e-07,1.202000e-07,3.124000e+17,1.876000e-08,1.302000e-06,8.703000e-04,1.879786e+00,1.635978e+00,9.254892e+04,9.747488e+03,5.495657e+01,True,2.141325e+09,2.676423e+00,6.423976e+08,3.032729e+02,9.575288e+01,4.332430e+02,4.617200e-07,8.908655e+04,9.271701e+04,1.173691e+00,1.125998e+04
1.000000e+01,3.707000e-07,9.797000e-08,2.122000e+17,5.686000e-07,1.323000e-06,1.565000e-04,1.572666e+00,2.461222e-01,9.229707e+01,4.857359e+03,8.234427e+00,True,2.129687e+03,6.057615e-02,6.389486e+02,2.759975e+02,9.466434e+01,4.124719e+02,1.507900e-06,1.001421e-05,2.807878e+02,6.155348e-01,6.618189e+03
1.100000e+01,4.000000e-07,9.063000e-08,8.841000e+17,1.720000e-07,1.262000e-06,3.580000e-04,1.044103e+00,3.737890e-01,3.326807e+01,4.987019e+03,2.937377e+01,True,2.766911e+02,1.397182e-01,8.310514e+01,2.457365e+02,9.628401e+01,3.808219e+02,7.440000e-07,3.462823e-03,4.425328e+02,9.123900e-01,9.593176e+03
1.200000e+01,4.565000e-07,7.508000e-08,6.889000e+17,3.543000e-07,1.359000e-06,6.062000e-04,,,,,2.444854e+00,False,,,1.000000e+09,2.203496e+02,9.699468e+01,3.555658e+02,1.165100e-06,6.708080e+04,6.710068e+04,7.024769e-01,6.542718e+03
1.300000e+01,4.779000e-07,1.076000e-07,5.991000e+17,7.866000e-07,1.283000e-06,7.286000e-04,9.374388e-01,6.830179e-01,1.468897e+01,3.736494e+03,4.986777e+01,True,5.394145e+01,4.665134e-01,1.650899e+01,2.708569e+02,9.503385e+01,4.025535e+02,2.051100e-06,1.713977e-06,3.664773e+02,5.276387e-01,9.279984e+03
1.400000e+01,4.798000e-07,7.857000e-08,5.323000e+17,8.394000e-08,1.310000e-06,3.380000e-04,1.772477e+00,5.990974e-01,8.679199e+04,6.314187e+03,1.721410e+02,True,1.883212e+09,3.589177e-01,5.649637e+08,2.150786e+02,9.419590e+01,3.379959e+02,6.476800e-07,8.676616e+04,8.793298e+04,9.501902e-01,7.230493e+03
1.500000e+01,4.603000e-07,1.211000e-07,8.049000e+17,4.394000e-07,1.277000e-06,8.191000e-04,8.999049e-01,7.371121e-01,1.296787e+01,4.274769e+03,6.468537e+01,True,4.204142e+01,5.433342e-01,1.299276e+01,2.906709e+02,9.912952e+01,4.204903e+02,1.339100e-06,1.225960e-03,4.301818e+02,7.105411e-01,1.282363e+04
1.600000e+01,4.384000e-07,9.121000e-08,9.396000e+17,7.889000e-07,1.349000e-06,5.338000e-04,9.822765e-01,5.243392e-01,2.266415e+01,4.159489e+03,3.624572e+01,True,1.284159e+02,2.749316e-01,3.871723e+01,2.364418e+02,9.546555e+01,3.633702e+02,2.016200e-06,3.316193e-06,3.846138e+02,5.204275e-01,8.423553e+03
1.700000e+01,3.776000e-07,1.001000e-07,2.561000e+17,2.165000e-07,1.332000e-06,9.100000e-04,9.345610e-01,8.504505e-01,1.182041e+01,2.464743e+03,5.401280e+01,True,3.493052e+01,7.232661e-01,1.098544e+01,2.768343e+02,9.636446e+01,4.006753e+02,8.106000e-07,9.006349e-04,3.249450e+02,8.645990e-01,8.092101e+03
1.800000e+01,3.856000e-07,1.096000e-07,3.458000e+17,5.999000e-07,1.299000e-06,1.335000e-04,,,,,1.461267e-01,False,,,1.000000e+09,2.446849e+02,9.440112e+01,3.725208e+02,1.585400e-06,9.423165e+04,9.423193e+04,6.176621e-01,8.587070e+03
